IDMesa,Freguesia,Partido,Votos Assembleia
2,Gambia Pontes e Alto da Guerra,Partido F,65
2,Gambia Pontes e Alto da Guerra,Partido G,3
2,Gambia Pontes e Alto da Guerra,Partido A,30
2,Gambia Pontes e Alto da Guerra,Partido E,9
2,Gambia Pontes e Alto da Guerra,Partido C,329
3,Gambia Pontes e Alto da Guerra,Partido F,178
3,Gambia Pontes e Alto da Guerra,Partido G,11
3,Gambia Pontes e Alto da Guerra,Partido A,41
3,Gambia Pontes e Alto da Guerra,Partido E,12
3,Gambia Pontes e Alto da Guerra,Partido C,395
4,Uniao de Freguesias de Setubal,Partido A,85
4,Uniao de Freguesias de Setubal,Partido E,39
4,Uniao de Freguesias de Setubal,Partido C,246
4,Uniao de Freguesias de Setubal,Partido F,218
4,Uniao de Freguesias de Setubal,Partido G,10
5,Uniao de Freguesias de Setubal,Partido A,105
5,Uniao de Freguesias de Setubal,Partido E,44
5,Uniao de Freguesias de Setubal,Partido C,247
5,Uniao de Freguesias de Setubal,Partido F,142
5,Uniao de Freguesias de Setubal,Partido G,5
6,Sado,Partido A,18
6,Sado,Partido F,123
6,Sado,Partido G,8
6,Sado,Partido E,9
6,Sado,Partido C,453
7,Sado,Partido A,13
7,Sado,Partido F,45
7,Sado,Partido G,5
7,Sado,Partido E,6
7,Sado,Partido C,207
8,Uniao de Freguesias de Setubal,Partido A,125
8,Uniao de Freguesias de Setubal,Partido E,32
8,Uniao de Freguesias de Setubal,Partido C,178
8,Uniao de Freguesias de Setubal,Partido G,14
8,Uniao de Freguesias de Setubal,Partido F,182
9,Uniao de Freguesias de Setubal,Partido A,100
9,Uniao de Freguesias de Setubal,Partido E,31
9,Uniao de Freguesias de Setubal,Partido C,182
9,Uniao de Freguesias de Setubal,Partido G,10
9,Uniao de Freguesias de Setubal,Partido F,115
10,Uniao de Freguesias de Setubal,Partido A,171
10,Uniao de Freguesias de Setubal,Partido G,17
10,Uniao de Freguesias de Setubal,Partido F,184
10,Uniao de Freguesias de Setubal,Partido C,164
10,Uniao de Freguesias de Setubal,Partido E,43
11,Uniao de Freguesias de Setubal,Partido A,162
11,Uniao de Freguesias de Setubal,Partido G,24
11,Uniao de Freguesias de Setubal,Partido F,158
11,Uniao de Freguesias de Setubal,Partido C,182
11,Uniao de Freguesias de Setubal,Partido E,42
12,Uniao de Freguesias de Azeitao,Partido C,248
12,Uniao de Freguesias de Azeitao,Partido G,7
12,Uniao de Freguesias de Azeitao,Partido E,45
12,Uniao de Freguesias de Azeitao,Partido A,123
12,Uniao de Freguesias de Azeitao,Partido F,174
13,Uniao de Freguesias de Azeitao,Partido C,160
13,Uniao de Freguesias de Azeitao,Partido G,13
13,Uniao de Freguesias de Azeitao,Partido E,41
13,Uniao de Freguesias de Azeitao,Partido A,139
13,Uniao de Freguesias de Azeitao,Partido F,118
14,Sao Sebastiao,Partido A,129
14,Sao Sebastiao,Partido G,11
14,Sao Sebastiao,Partido C,218
14,Sao Sebastiao,Partido E,17
14,Sao Sebastiao,Partido F,217
15,Sao Sebastiao,Partido A,122
15,Sao Sebastiao,Partido G,6
15,Sao Sebastiao,Partido C,224
15,Sao Sebastiao,Partido E,30
15,Sao Sebastiao,Partido F,182
16,Uniao de Freguesias de Azeitao,Partido G,11
16,Uniao de Freguesias de Azeitao,Partido C,513
16,Uniao de Freguesias de Azeitao,Partido A,108
