IDMesa,Freguesia,Partido,Votos Camara
2,Gambia Pontes e Alto da Guerra,Partido F,60
2,Gambia Pontes e Alto da Guerra,Partido G,7
2,Gambia Pontes e Alto da Guerra,Partido A,25
2,Gambia Pontes e Alto da Guerra,Partido E,9
2,Gambia Pontes e Alto da Guerra,Partido C,322
2,Gambia Pontes e Alto da Guerra,Partido B,9
2,Gambia Pontes e Alto da Guerra,Partido D,2
3,Gambia Pontes e Alto da Guerra,Partido F,169
3,Gambia Pontes e Alto da Guerra,Partido G,7
3,Gambia Pontes e Alto da Guerra,Partido A,41
3,Gambia Pontes e Alto da Guerra,Partido E,10
3,Gambia Pontes e Alto da Guerra,Partido C,386
3,Gambia Pontes e Alto da Guerra,Partido B,23
3,Gambia Pontes e Alto da Guerra,Partido D,3
4,Uniao de Freguesias de Setubal,Partido A,78
4,Uniao de Freguesias de Setubal,Partido E,31
4,Uniao de Freguesias de Setubal,Partido C,255
4,Uniao de Freguesias de Setubal,Partido F,213
4,Uniao de Freguesias de Setubal,Partido G,12
4,Uniao de Freguesias de Setubal,Partido B,10
4,Uniao de Freguesias de Setubal,Partido D,3
5,Uniao de Freguesias de Setubal,Partido A,97
5,Uniao de Freguesias de Setubal,Partido E,36
5,Uniao de Freguesias de Setubal,Partido C,264
5,Uniao de Freguesias de Setubal,Partido F,134
5,Uniao de Freguesias de Setubal,Partido G,4
5,Uniao de Freguesias de Setubal,Partido B,6
5,Uniao de Freguesias de Setubal,Partido D,3
6,Sado,Partido A,20
6,Sado,Partido F,105
6,Sado,Partido G,11
6,Sado,Partido E,11
6,Sado,Partido C,453
6,Sado,Partido B,0
6,Sado,Partido D,0
7,Sado,Partido A,11
7,Sado,Partido F,36
7,Sado,Partido G,0
7,Sado,Partido E,4
7,Sado,Partido C,223
7,Sado,Partido B,5
7,Sado,Partido D,0
8,Uniao de Freguesias de Setubal,Partido A,120
8,Uniao de Freguesias de Setubal,Partido E,27
8,Uniao de Freguesias de Setubal,Partido C,193
8,Uniao de Freguesias de Setubal,Partido G,0
8,Uniao de Freguesias de Setubal,Partido F,173
8,Uniao de Freguesias de Setubal,Partido B,9
8,Uniao de Freguesias de Setubal,Partido D,8
9,Uniao de Freguesias de Setubal,Partido A,74
9,Uniao de Freguesias de Setubal,Partido E,22
9,Uniao de Freguesias de Setubal,Partido C,228
9,Uniao de Freguesias de Setubal,Partido G,1
9,Uniao de Freguesias de Setubal,Partido F,108
9,Uniao de Freguesias de Setubal,Partido B,5
9,Uniao de Freguesias de Setubal,Partido D,2
10,Uniao de Freguesias de Setubal,Partido A,150
10,Uniao de Freguesias de Setubal,Partido G,7
10,Uniao de Freguesias de Setubal,Partido F,175
10,Uniao de Freguesias de Setubal,Partido C,199
10,Uniao de Freguesias de Setubal,Partido E,41
10,Uniao de Freguesias de Setubal,Partido B,13
10,Uniao de Freguesias de Setubal,Partido D,1
11,Uniao de Freguesias de Setubal,Partido A,142
11,Uniao de Freguesias de Setubal,Partido G,11
11,Uniao de Freguesias de Setubal,Partido F,154
11,Uniao de Freguesias de Setubal,Partido C,220
11,Uniao de Freguesias de Setubal,Partido E,31
11,Uniao de Freguesias de Setubal,Partido B,9
11,Uniao de Freguesias de Setubal,Partido D,2
12,Uniao de Freguesias de Azeitao,Partido C,257
12,Uniao de Freguesias de Azeitao,Partido G,4
12,Uniao de Freguesias de Azeitao,Partido E,31
12,Uniao de Freguesias de Azeitao,Partido A,117
12,Uniao de Freguesias de Azeitao,Partido F,170
12,Uniao de Freguesias de Azeitao,Partido B,9
12,Uniao de Freguesias de Azeitao,Partido D,5
13,Uniao de Freguesias de Azeitao,Partido C,191
13,Uniao de Freguesias de Azeitao,Partido G,9
13,Uniao de Freguesias de Azeitao,Partido E,35
13,Uniao de Freguesias de Azeitao,Partido A,119
13,Uniao de Freguesias de Azeitao,Partido F,108
13,Uniao de Freguesias de Azeitao,Partido B,7
13,Uniao de Freguesias de Azeitao,Partido D,4
14,Sao Sebastiao,Partido A,103
14,Sao Sebastiao,Partido G,4
14,Sao Sebastiao,Partido C,234
14,Sao Sebastiao,Partido E,15
14,Sao Sebastiao,Partido F,215
14,Sao Sebastiao,Partido B,15
14,Sao Sebastiao,Partido D,1
15,Sao Sebastiao,Partido A,113
15,Sao Sebastiao,Partido G,4
15,Sao Sebastiao,Partido C,246
15,Sao Sebastiao,Partido E,24
15,Sao Sebastiao,Partido F,163
15,Sao Sebastiao,Partido B,10
15,Sao Sebastiao,Partido D,3
16,Uniao de Freguesias de Azeitao,Partido G,8
