IDMesa,Freguesia,Partido,Votos Junta
2,Gambia Pontes e Alto da Guerra,Partido F,59
2,Gambia Pontes e Alto da Guerra,Partido G,4
2,Gambia Pontes e Alto da Guerra,Partido A,2
2,Gambia Pontes e Alto da Guerra,Partido E,7
2,Gambia Pontes e Alto da Guerra,Partido C,367
3,Gambia Pontes e Alto da Guerra,Partido F,172
3,Gambia Pontes e Alto da Guerra,Partido G,8
3,Gambia Pontes e Alto da Guerra,Partido A,28
3,Gambia Pontes e Alto da Guerra,Partido E,8
3,Gambia Pontes e Alto da Guerra,Partido C,422
4,Uniao de Freguesias de Setubal,Partido A,85
4,Uniao de Freguesias de Setubal,Partido E,39
4,Uniao de Freguesias de Setubal,Partido C,225
4,Uniao de Freguesias de Setubal,Partido F,231
4,Uniao de Freguesias de Setubal,Partido G,15
5,Uniao de Freguesias de Setubal,Partido A,110
5,Uniao de Freguesias de Setubal,Partido E,46
5,Uniao de Freguesias de Setubal,Partido C,229
5,Uniao de Freguesias de Setubal,Partido F,151
5,Uniao de Freguesias de Setubal,Partido G,6
6,Sado,Partido A,24
6,Sado,Partido F,102
6,Sado,Partido G,5
6,Sado,Partido E,9
6,Sado,Partido C,467
7,Sado,Partido A,10
7,Sado,Partido F,40
7,Sado,Partido G,4
7,Sado,Partido E,3
7,Sado,Partido C,225
8,Uniao de Freguesias de Setubal,Partido A,129
8,Uniao de Freguesias de Setubal,Partido E,23
8,Uniao de Freguesias de Setubal,Partido C,175
8,Uniao de Freguesias de Setubal,Partido G,10
8,Uniao de Freguesias de Setubal,Partido F,190
9,Uniao de Freguesias de Setubal,Partido A,104
9,Uniao de Freguesias de Setubal,Partido E,33
9,Uniao de Freguesias de Setubal,Partido C,176
9,Uniao de Freguesias de Setubal,Partido G,7
9,Uniao de Freguesias de Setubal,Partido F,116
10,Uniao de Freguesias de Setubal,Partido A,188
10,Uniao de Freguesias de Setubal,Partido G,14
10,Uniao de Freguesias de Setubal,Partido F,175
10,Uniao de Freguesias de Setubal,Partido C,149
10,Uniao de Freguesias de Setubal,Partido E,51
11,Uniao de Freguesias de Setubal,Partido A,181
11,Uniao de Freguesias de Setubal,Partido G,19
11,Uniao de Freguesias de Setubal,Partido F,156
11,Uniao de Freguesias de Setubal,Partido C,174
11,Uniao de Freguesias de Setubal,Partido E,36
12,Uniao de Freguesias de Azeitao,Partido C,268
12,Uniao de Freguesias de Azeitao,Partido G,7
12,Uniao de Freguesias de Azeitao,Partido E,44
12,Uniao de Freguesias de Azeitao,Partido A,110
12,Uniao de Freguesias de Azeitao,Partido F,173
13,Uniao de Freguesias de Azeitao,Partido C,145
13,Uniao de Freguesias de Azeitao,Partido G,9
13,Uniao de Freguesias de Azeitao,Partido E,65
13,Uniao de Freguesias de Azeitao,Partido A,122
13,Uniao de Freguesias de Azeitao,Partido F,124
14,Sao Sebastiao,Partido A,127
14,Sao Sebastiao,Partido G,13
14,Sao Sebastiao,Partido C,209
14,Sao Sebastiao,Partido E,17
14,Sao Sebastiao,Partido F,220
15,Sao Sebastiao,Partido A,120
15,Sao Sebastiao,Partido G,8
15,Sao Sebastiao,Partido C,215
15,Sao Sebastiao,Partido E,34
15,Sao Sebastiao,Partido F,182
16,Uniao de Freguesias de Azeitao,Partido G,9
16,Uniao de Freguesias de Azeitao,Partido C,517
16,Uniao de Freguesias de Azeitao,Partido A,75
16,Uniao de Freguesias de Azeitao,Partido F,293
16,Uniao de Freguesias de Azeitao,Partido E,8
17,Uniao de Freguesias de Azeitao,Partido G,10
17,Uniao de Freguesias de Azeitao,Partido C,406
17,Uniao de Freguesias de Azeitao,Partido A,165
